ID  , Area          , Attività                                                                                                    , Stato     , File coinvolti                        , Note                                                                                                                               , Commit
S01 , Configurazione, Inizializzare la struttura del progetto                                                                     , Fatto     ,                                       , Struttura cartelle coerente con i deliverable dello spec                                                                           , chore: project setup
S02 , Configurazione, Creare requirements.txt con le dipendenze principali (torch torchvision numpy Pillow scikit-image)          , Fatto     , requirements.txt                      , Fissare le versioni per la riproducibilità                                                                                         , chore: add requirements
S03 , Configurazione, Configurare ambiente Colab/Kaggle per GPU T4                                                                , Fatto     , notebooks/setup.ipynb                 , Verificare disponibilità AMP e CUDA (la tua gpu locale non è abbastanza potente quindi per l'esecuzione completa devi usare kaggle), chore: s03 s04 s05
S04 , Configurazione, Aggiungere utilità di riproducibilità (seed fisso per torch numpy random)                                   , Fatto     , src/utils/reproducibility.py          , Necessario per risultati di valutazione deterministici                                                                             , chore: s03 s04 s05
S05 , Configurazione, Configurare logging con TensorBoard                                                                         , Da testare, src/utils/logger.py                   , Registrare curve di loss e pannello visivo di validazione. vedi chatgpt in caso di problematiche                                   , chore: s03 s04 s05
D01 , Dati          , Ricercare e documentare le licenze di LOL-v2 / LOL-v1 / ExDark                                              , Da fare   , planning/dataset_licenses.md          , Richiesto dallo spec — deve comparire nel report                                                                                   , 
D02 , Dati          , Scaricare il dataset LOL-v2 e verificare l'integrità dei file                                               , Da fare   , data/LOL-v2/                          , Dominio di training (non scaricare dataset prima di aver verificato licenze e struttura)                                           , 
D03 , Dati          , Scaricare il dataset LOL-v1 e verificare l'integrità dei file                                               , Da fare   , data/LOL-v1/                          , Test in-domain + cross-dataset (non scaricare dataset prima di aver verificato licenze e struttura)                                , 
D04 , Dati          , Scaricare il dataset ExDark e verificare l'integrità dei file                                               , Da fare   , data/ExDark/                          , Test di robustezza cross-dataset (non scaricare dataset prima di aver verificato licenze e struttura)                              , 
D05 , Dati          , Implementare la classe Dataset PyTorch per coppie di immagini bassa/normale luminosità                      , Da fare   , src/data/dataset.py                   , Supportare le strutture cartelle di LOL-v1 e LOL-v2                                                                                , 
D06 , Dati          , Implementare la pipeline di preprocessing (resize 256×256 o 192×192 fallback + normalizzazione)             , Da fare   , src/data/transforms.py                , Documentare e giustificare le scelte nel report                                                                                    , 
D07 , Dati          , Definire gli split deterministici train/val/test e salvare i file di split                                  , Da fare   , src/data/splits.py                    , Nessuna sovrapposizione di scene/identità tra train e test                                                                         , 
D08 , Dati          , Implementare data augmentation (flip orizzontale + random crop + lieve color jitter)                        , Da fare   , src/data/transforms.py                , Applicata solo allo split di training                                                                                              , 
D09 , Dati          , Sanity check visivo — visualizzare coppie di esempio da ogni dataset                                        , Da fare   , notebooks/data_exploration.ipynb      , Intercettare subito problemi di caricamento o ordine dei canali                                                                    , 
D10 , Dati          , Verificare assenza di sovrapposizione tra scene di train LOL-v2 e test LOL-v1 / ExDark                      , Da fare   , notebooks/data_exploration.ipynb      , Obbligatorio per una valutazione equa della generalizzazione                                                                       , 
RF01, Riferimento   , Rivedere e documentare il mini-progetto UNet universitario (architettura livelli iperparametri)             , Da fare   , references/university_unet_project/   , Punto di partenza per capire cosa adattare al nuovo progetto                                                                       , 
RF02, Riferimento   , Confrontare l'architettura UNet universitaria con la baseline del progetto — identificare differenze chiave , Da fare   , notebooks/reference_analysis.ipynb    , Capire cosa cambia rispetto al dominio low-light                                                                                   , 
RF03, Riferimento   , Identificare componenti o scelte progettuali riutilizzabili dal mini-progetto                               , Da fare   , notebooks/reference_analysis.ipynb    , Evitare di riscrivere da zero ciò che funziona già                                                                                 , 
RF04, Riferimento   , Analizzare perché la UNet universitaria potrebbe non generalizzare cross-dataset                            , Da fare   , notebooks/reference_analysis.ipynb    , Utile per motivare le scelte progettuali nel report                                                                                , 
M01 , Modello       , Implementare la UNet baseline compatta (encoder-decoder con skip connection)                                , Da fare   , src/models/unet.py                    , La baseline deve essere pulita e riproducibile                                                                                     , 
M02 , Modello       , Implementare la loss combinata L1 + SSIM con peso configurabile                                             , Da fare   , src/losses/loss.py                    , Supervisione a livello di pixel e struttura come da spec                                                                           , 
M03 , Modello       , Implementare la variante: blocco di attenzione spaziale/canale (CBAM o SE) nella UNet                       , Da fare   , src/models/unet_attention.py          , Una variante architetturale significativa è richiesta dallo spec                                                                   , 
M04 , Modello       , Stampare il riepilogo del modello e verificare il numero di parametri per baseline e variante               , Da fare   , notebooks/model_summary.ipynb         , Documentare i conteggi nel report                                                                                                  , 
T01 , Addestramento , Implementare il ciclo di addestramento con ottimizzatore Adam/AdamW                                         , Da fare   , src/train.py                          , Registrare la loss di training per epoca                                                                                           , 
T02 , Addestramento , Aggiungere learning rate scheduler (coseno o a step)                                                        , Da fare   , src/train.py                          , Giustificare la scelta dello scheduler nel report                                                                                  , 
T03 , Addestramento , Implementare early stopping (patience sulla val loss)                                                       , Da fare   , src/train.py                          , Previene l'overfitting e risparmia risorse computazionali                                                                          , 
T04 , Addestramento , Abilitare il training a precisione mista (torch.cuda.amp)                                                   , Da fare   , src/train.py                          , Raccomandato per T4 nello spec                                                                                                     , 
T05 , Addestramento , Aggiungere ciclo di validazione con calcolo PSNR e SSIM dopo ogni epoca                                     , Da fare   , src/train.py                          , Monitorare la generalizzazione in-domain durante l'addestramento                                                                   , 
T06 , Addestramento , Aggiungere pannello visivo di validazione fisso — registrare N output di esempio ogni epoca                 , Da fare   , src/train.py                          , Monitoraggio qualitativo del progresso come suggerito dallo spec                                                                   , 
T07 , Addestramento , Addestrare la UNet baseline su LOL-v2 e salvare il miglior checkpoint                                       , Da fare   , checkpoints/baseline/                 , Documentare seed hardware e iperparametri                                                                                          , 
T08 , Addestramento , Addestrare la variante con attenzione su LOL-v2 e salvare il miglior checkpoint                             , Da fare   , checkpoints/variant_attention/        , Stesso protocollo della baseline per un confronto equo                                                                             , 
E01 , Valutazione   , Implementare la metrica PSNR                                                                                , Da fare   , src/metrics/psnr.py                   , Full-reference — richiede ground truth paired                                                                                      , 
E02 , Valutazione   , Implementare la metrica SSIM                                                                                , Da fare   , src/metrics/ssim.py                   , Full-reference                                                                                                                     , 
E03 , Valutazione   , Implementare la metrica NIQE (no-reference)                                                                 , Da fare   , src/metrics/niqe.py                   , Usare scikit-image o libreria piq                                                                                                  , 
E04 , Valutazione   , Implementare la metrica BRISQUE (no-reference)                                                              , Da fare   , src/metrics/brisque.py                , Per la valutazione non paired su ExDark (facoltativo)                                                                              , 
E05 , Valutazione   , Valutare la baseline in-domain sul test split di LOL-v2 (PSNR + SSIM)                                       , Da fare   , results/baseline_lolv2.csv            ,                                                                                                                                    , 
E06 , Valutazione   , Valutare la baseline cross-dataset su LOL-v1 (PSNR + SSIM)                                                  , Da fare   , results/baseline_lolv1.csv            ,                                                                                                                                    , 
E07 , Valutazione   , Valutare la baseline cross-dataset su ExDark (NIQE + BRISQUE)                                               , Da fare   , results/baseline_exdark.csv           ,                                                                                                                                    , 
E08 , Valutazione   , Valutare la variante con attenzione in-domain sul test split di LOL-v2                                      , Da fare   , results/variant_lolv2.csv             ,                                                                                                                                    , 
E09 , Valutazione   , Valutare la variante con attenzione cross-dataset su LOL-v1                                                 , Da fare   , results/variant_lolv1.csv             ,                                                                                                                                    , 
E10 , Valutazione   , Valutare la variante con attenzione cross-dataset su ExDark                                                 , Da fare   , results/variant_exdark.csv            ,                                                                                                                                    , 
E11 , Valutazione   , Compilare la tabella risultati unificata (tutti i modelli × tutti gli split × tutte le metriche)            , Da fare   , results/summary_table.csv             , Pronta per essere incollata nel report                                                                                             , 
A01 , Analisi       , Raccogliere esempi di fallimento — identificare color cast / alone / over-smoothing / allucinazione / rumore, Da fare   , notebooks/failure_analysis.ipynb      , Tassonomia obbligatoria dalla sezione §8 dello spec                                                                                , 
A02 , Analisi       , Scrivere ipotesi causale per ogni tipo di fallimento                                                        , Da fare   , notebooks/failure_analysis.ipynb      , Collegare il fallimento all'architettura o alla distribuzione dei dati                                                             , 
A03 , Analisi       , Analizzare il gap di prestazioni cross-dataset (quantitativo + visivo)                                      , Da fare   , notebooks/cross_dataset_analysis.ipynb, Domanda di ricerca centrale del progetto                                                                                           , 
A04 , Analisi       , Proporre due strategie di mitigazione e implementarne almeno una                                            , Da fare   , src/models/ o src/losses/             , Deve essere testata non solo proposta                                                                                              , 
A05 , Analisi       , Valutare la mitigazione implementata e confrontare con la baseline                                          , Da fare   , results/mitigation_results.csv        ,                                                                                                                                    , 
R01 , Report        , Scrivere introduzione e motivazione del problema                                                            , Da fare   , report/report.tex                     ,                                                                                                                                    , 
R02 , Report        , Documentare i dataset (scelte licenze preprocessing split)                                                  , Da fare   , report/report.tex                     ,                                                                                                                                    , 
R03 , Report        , Documentare le architetture dei modelli (baseline + variante + diagrammi)                                   , Da fare   , report/report.tex                     ,                                                                                                                                    , 
R04 , Report        , Documentare il setup di addestramento (loss ottimizzatore schedule hardware seed)                           , Da fare   , report/report.tex                     , Tutti i dettagli di riproducibilità                                                                                                , 
R05 , Report        , Scrivere la sezione risultati della valutazione (tabelle + figure qualitative)                              , Da fare   , report/report.tex                     ,                                                                                                                                    , 
R06 , Report        , Scrivere la sezione di analisi e discussione (tassonomia fallimenti + gap cross-dataset)                    , Da fare   , report/report.tex                     ,                                                                                                                                    , 
R07 , Report        , Scrivere conclusioni e lavori futuri                                                                        , Da fare   , report/report.tex                     ,                                                                                                                                    , 
R08 , Report        , Revisione finale formattazione e controllo bibliografia                                                     , Da fare   , report/report.tex                     , Scadenza: 18 giugno 2026                                                                                                           , 
P01 , Presentazione , Definire la struttura delle slide (sezioni e flusso)                                                        , Da fare   , presentation/slides.pdf               ,                                                                                                                                    , 
P02 , Presentazione , Creare slide — problema dataset e preprocessing                                                             , Da fare   , presentation/slides.pdf               ,                                                                                                                                    , 
P03 , Presentazione , Creare slide — architettura del modello (baseline vs variante)                                              , Da fare   , presentation/slides.pdf               ,                                                                                                                                    , 
P04 , Presentazione , Creare slide — tabelle risultati e confronti visivi                                                         , Da fare   , presentation/slides.pdf               ,                                                                                                                                    , 
P05 , Presentazione , Creare slide — analisi dei fallimenti e mitigazione                                                         , Da fare   , presentation/slides.pdf               ,                                                                                                                                    , 
P06 , Presentazione , Preparare domande anticipate per l'esame orale e relative risposte                                          , Da fare   , planning/oral_prep.md                 , Scadenza: 18 giugno 2026                                                                                                           , 
